"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS016861","OH0570800ALPR","Miamisburg","Montgomery County","OH","Miamisburg Police Department","Police","The Miamisburg Police Department operates 12 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016862","OH0570300ALPR","Germantown","Montgomery County","OH","Germantown Police Department","Police","The Germantown Police Department operates three Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016863","OH0570000ALPR","Dayton","Montgomery County","OH","Montgomery County Sheriff's Office","Sheriff","The Montgomery County Sheriff's Office operates 41 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016864","OH0540000ALPR","Celina","Mercer County","OH","Mercer County Sheriff's Office","Sheriff","The Mercer County Sheriff's Office operates 10 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016865","OH0521400ALPR","Medina","Medina County","OH","Medina Township Police Department","Police","The Medina Township Police Department operates five Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016866","OH0520100ALPR","Brunswick","Medina County","OH","Brunswick Police Department","Police","The Brunswick Police Department operates 10 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016867","OH0520000ALPR","Medina","Medina County","OH","Medina County Sheriff's Office","Sheriff","The Medina County Sheriff's Office operates 18 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016868","OH0500900ALPR","Youngstown","Mahoning County","OH","Youngstown Police Department","Police","The Youngstown Police Department operates 57 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016869","OH0490600ALPR","Plain City","Madison County","OH","Plain City Police Department","Police","The Plain City Police Department operates five Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016870","OH0481100ALPR","Waterville","Lucas County","OH","Waterville Police Department","Police","The Waterville Police Department operates five Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016871","OH0480600ALPR","Sylvania","Lucas County","OH","Sylvania Township Police Department","Police","The Sylvania Township Police Department operates 14 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016872","OH0480100ALPR","Maumee","Lucas County","OH","Maumee Police Department","Police","The Maumee Police Department operates 14 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016873","OH0480000ALPR","Toledo","Lucas County","OH","Lucas County Sheriff's Office","Sheriff","The Lucas County Sheriff's Office operates 27 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016874","OH0470700ALPR","North Ridgeville","Lorain County","OH","North Ridgeville Police Department","Police","The North Ridgeville Police Department operates 22 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016875","OH0470000ALPR","Elyria","Lorain County","OH","Lorain County Sheriff's Office","Sheriff","The Lorain County Sheriff's Office operates 14 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016876","OH0450000ALPR","Newark","Licking County","OH","Licking County Sheriff's Office","Sheriff","The Licking County Sheriff's Office operates 66 Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016877","OH0410300ALPR","Steubenville","Jefferson County","OH","Steubenville Police Department","Police","The Steubenville Police Department operates 11 Flock Safety automated license plate readers as of September 2025.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
"AOS016878","OH0410000ALPR","Steubenville","Jefferson County","OH","Jefferson County Sheriff's Office","Sheriff","The Jefferson County Sheriff's Office operates five Flock Safety automated license plate readers as of September 2025.","County","Automated License Plate Readers","","Flock Safety","https://www.documentcloud.org/documents/26182924-pittsboro-police-department-flock-safety-shared-devices-list/","","Public Records From the EFF via Pittsboro Police - See note","","9/11/2025","","","","","","","","","","",""
